年,月,日,内容
2024,4,13日,MYCOEIROINK カニ娘 <a href="https://yd404.github.io/kani/index.html" target="_blank" rel="noopener noreferrer">公開</a>
2024,4,20日,ノートパソコン（Lenovo IdeaPad Flex 5）を家族共用PCに転属、デスクトップパソコン（DX6785-N78J/GA）を自分用に再転属
2024,5,3日,声音の宴3次会にて、サークル参加 
2024,6,26日,酒処女喪失
2024,8,5日,今更ながらチュウニズム開始
2024,11,10日,ゆかりコレクトにて、サークル参加。<a href="https://www.nicovideo.jp/watch/sm44258121?ref=garage_share_other" target="_blank" rel="noopener noreferrer">ユカリウム / アカリウム</a>を頒布
2024,11,11日,桜乃そらさんが家に来る
2024,11,30日,ラズパイNASをつくる
2024,12,8日,<a href="https://404yd.booth.pm/items/6365958" target="_blank" rel="noopener noreferrer">BOOTH</a>開設
2025,1,5日,チュウニズム、初Master開放
2025,1,12日,フォロワー数1200人突破(ニコニコ動画)
2025,5,12日,フォロワー数500人突破(Twitter)※botが何人いるのかわからないので推定
2025,10,16日,動画編集開始10年周年予定
